Distance (mm),T (C),P (atm),Ar,He,Ne,N2,CH4(1),CO2(2),H2O(3),H2(4),CO(5),C2H6(6),site(7),HX(8),CO2X(9),OX(10),OCX(11),HOX(12),H2OX(13),CX(14),CHX(15),CH2X(16),CH3X(17),CH4X(18),HOCXO(19),CXHO(20),HCOOX(21),CXOH(22),HCXOH(23),H2CXOH(24),C2H6X(25),C2H5X(26),CHCH3X(27),CXCH3(28),CXCH2(29),CXHCH2(30),CH3CXO(31)
66.0,319.85,1.184307920059215,0.200000246669079,0.0,0.0,0.0,6.166729856143615e-07,0.15961840519133974,0.0003824088169335272,0.6396171471775481,0.00038117547211397783,1.4061939222695782e-20,0.0013691242123931805,0.8686172257635862,4.1739160399135986e-08,3.747224129111807e-05,0.12997606431099878,8.92493743038814e-12,3.1480895962370114e-08,2.3019539336932685e-14,2.860639763112785e-10,5.948127213615039e-15,9.772986478829207e-17,1.2336416316932127e-08,4.783620560868225e-12,2.07878560504373e-08,1.002746301269187e-13,6.49868519750044e-09,2.3262347529315665e-14,3.31754157755171e-10,9.281208678581144e-23,1.8462714716104515e-29,4.9182908234457956e-29,2.605830224752582e-22,2.6059112319796546e-25,9.674523241550724e-31,9.682630169524963e-31
66.5,319.85,1.1843079200592155,0.20000025324862583,0.0,0.0,0.0,6.331218477659349e-07,0.15961325938831827,0.0003875763324545812,0.6396119678188622,0.00038631008989138216,1.4988084420341492e-20,0.0013654147302821647,0.8662603648382621,4.1624731669973515e-08,3.6898120370421683e-05,0.1323372080210453,8.893603264689757e-12,3.1819812250873976e-08,2.3402824661191848e-14,2.891433711592003e-10,6.012133547221784e-15,1.000327380894833e-16,1.2631129413234986e-08,4.7704470081180745e-12,2.1010709834599088e-08,9.999932768502195e-14,6.5683736326481145e-09,2.3511706248086346e-14,3.352855727852184e-10,9.865615614920651e-23,1.9623595040679037e-29,5.13990641095246e-29,2.723256574056005e-22,2.7233520584112504e-25,1.0110485589291617e-30,1.0109835516728498e-30
67.0,319.85,1.184307920059216,0.2000002598803084,0.0,0.0,0.0,6.497009587014128e-07,0.15960814534832368,0.0003927122569061919,0.6396068199577633,0.0003914128557395504,1.5956815564650958e-20,0.0013618243059524899,0.8639790818732059,4.151394784860452e-08,3.634290764118562e-05,0.1346226358032139,8.862637543206023e-12,3.215664862938958e-08,2.378347709548581e-14,2.922035912624295e-10,6.07574085867547e-15,1.0235043114393771e-16,1.2927780797502465e-08,4.757697057987291e-12,2.1232173737896094e-08,9.973278689291111e-14,6.6376267241693636e-09,2.3759505384897212e-14,3.3879487368282766e-10,1.0475575410696346e-22,2.0835103636778884e-29,5.364293894469845e-29,2.8421521852945017e-22,2.842263053432282e-25,1.0551902784807667e-30,1.0541930089842216e-30
67.5,319.85,1.184307920059215,0.20000026656379224,0.0,0.0,0.0,6.6640976925585e-07,0.15960306232031782,0.0003978173405096069,0.6396017028434856,0.000396484522125642,1.696931769458222e-20,0.0013583484361315297,0.8617705177978018,4.1406671052103054e-08,3.580576118910003e-05,0.1368352120732733,8.832059703145414e-12,3.249148940191352e-08,2.4161535392032287e-14,2.952454040460479e-10,6.138965108181578e-15,1.0468303773495292e-16,1.3226381748023909e-08,4.745354486700887e-12,2.1452303627721006e-08,9.947467626208469e-14,6.706462007052695e-09,2.4005807718626714e-14,3.422829618935291e-10,1.1111772654050366e-22,2.2098594521679514e-29,5.59139237344492e-29,2.9624847933604455e-22,2.9626119607272195e-25,1.0998655039221523e-30,1.0978799237505637e-30
68.0,319.85,1.184307920059215,0.20000027329898992,0.0,0.0,0.0,6.832477621592927e-07,0.1595980095689972,0.00040289231798128623,0.6395966157426635,0.00040152582360608775,1.8026793082319197e-20,0.0013549825174783373,0.8596317502100379,4.130276037505966e-08,3.528587353402862e-05,0.13897786464405265,8.801883548568077e-12,3.2824407725894276e-08,2.453704550885633e-14,2.9826947466190025e-10,6.20182012944035e-15,1.0703062502722396e-16,1.3526940210322521e-08,4.733402743240309e-12,2.1671147878767013e-08,9.922465706075281e-14,6.774894667522281e-09,2.4250667620864242e-14,3.457506162896881e-10,1.1774900156215096e-22,2.341543821262606e-29,5.821151752902877e-29,3.084227857904444e-22,3.0843722484875697e-25,1.1450643817648657e-30,1.1420349481572753e-30
68.5,319.85,1.1843079200592155,0.2000002800857058,0.0,0.0,0.0,7.002144440620386e-07,0.1595929863769576,0.000407937906075628,0.6395915579389111,0.0004065374779058738,1.9130462659304473e-20,0.0013517219342320797,0.8575598489169279,4.120207456175395e-08,3.478247211783977e-05,0.14105352909687208,8.77211822255682e-12,3.315546755923103e-08,2.4910058695000118e-14,3.012763861650437e-10,6.264318048782944e-15,1.0939323771297436e-16,1.3829461310755364e-08,4.721825257670305e-12,2.188874884998305e-08,9.898238972580165e-14,6.842938005248948e-09,2.4494132708881604e-14,3.491985173177024e-10,1.2465659945249168e-22,2.4787023659204774e-29,6.053530888601439e-29,3.207359580838723e-22,3.2075221271795875e-25,1.1907788191536774e-30,1.1866504767444288e-30
69.0,319.85,1.1843079200592157,0.20000028692366503,0.0,0.0,0.0,7.173093393395875e-07,0.15958799204640056,0.0004129548018952733,0.639586528734776,0.0004115201839238605,2.0281560383863812e-20,0.0013485621250831764,0.8555519183871125,4.1104474044411295e-08,3.42948195931763e-05,0.1430651062617784,8.742769055962408e-12,3.348472531211013e-08,2.528062973333047e-14,3.0426665411823665e-10,6.326469589100235e-15,1.1177090170916376e-16,1.413394781955121e-08,4.7106056761932975e-12,2.2105143959113006e-08,9.874753876268043e-14,6.910603769761334e-09,2.4736245050867665e-14,3.5262726468089493e-10,1.318475969776054e-22,2.62147511494519e-29,6.288495952201834e-29,3.3318620401298005e-22,3.332043683269386e-25,1.2370021622745147e-30,1.2317203218103938e-30
69.5,319.85,1.184307920059216,0.2000002938127221,0.0,0.0,0.0,7.345319852719494e-07,0.15958302590036869,0.0004179436818187523,0.6395815274545366,0.00041647461856856384,2.148134133811695e-20,0.0013454986325159807,0.853605129065797,4.1009822446725386e-08,3.382221377395953e-05,0.14501543085330607,8.713838294620826e-12,3.3812231225157943e-08,2.564881542543665e-14,3.0724073742840813e-10,6.388284295311991e-15,1.1416362737868025e-16,1.4440400556190863e-08,4.699728033967626e-12,2.2320366480653132e-08,9.851977635866959e-14,6.977902410381731e-09,2.4977042061176135e-14,3.560373905103918e-10,1.393291812805647e-22,2.7700042947229867e-29,6.526019080174701e-29,3.4577204738542547e-22,3.4579221632362805e-25,1.2837289305499379e-30,1.2772394389291233e-30
70.0,319.85,1.1843079200592155,0.20000030075269606,0.0,0.0,0.0,7.518819283984321e-07,0.15957808728321868,0.00042290520089104496,0.6395765534434786,0.000421401437787117,2.273107621516405e-20,0.001342527135253768,0.8517167379200679,4.0917987571908595e-08,3.3363986829735426e-05,0.14690725089352757,8.68532568897554e-12,3.413803043776266e-08,2.601467366075351e-14,3.1019904918741275e-10,6.449770759560753e-15,1.1657141211102413e-16,1.4748818711046769e-08,4.68917686794843e-12,2.2534446339156024e-08,9.829878475209759e-14,7.0448433246999705e-09,2.5216557388893773e-14,3.594293723346808e-10,1.471086145854761e-22,2.924433628720619e-29,6.766077273912307e-29,3.584922697621984e-22,3.5851453911349115e-25,1.3309546003489904e-30,1.32320371183024e-30
70.5,319.85,1.1843079200592155,0.20000030774342914,0.0,0.0,0.0,7.693587217516981e-07,0.15957317556090495,0.0004278399925846471,0.6395716060686224,0.00042630127573710624,2.403206324673077e-20,0.0013396434708563523,0.8498841027881079,4.082884209041288e-08,3.2919504414475406e-05,0.14874321334109636,8.657228996505248e-12,3.4462163883324005e-08,2.637826256165909e-14,3.131419642820098e-10,6.5109367795962624e-15,1.1899424256696296e-16,1.5059200127908682e-08,4.6789372951738574e-12,2.274741066916135e-08,9.80842578859754e-14,7.111435034053842e-09,2.545482154657959e-14,3.628036422989466e-10,1.5519331310357678e-22,3.084909897121078e-29,7.008651498313797e-29,3.713458626839734e-22,3.713703290796909e-25,1.3786754276206673e-30,1.3696097699860862e-30
