Distance (mm),T (C),P (atm),Ar,He,Ne,N2,CH4(1),CO2(2),H2O(3),H2(4),CO(5),C2H6(6),site(7),HX(8),CO2X(9),OX(10),OCX(11),HOX(12),H2OX(13),CX(14),CHX(15),CH2X(16),CH3X(17),CH4X(18),HOCXO(19),CXHO(20),HCOOX(21),CXOH(22),HCXOH(23),H2CXOH(24),C2H6X(25),C2H5X(26),CHCH3X(27),CXCH3(28),CXCH2(29),CXHCH2(30),CH3CXO(31)
76.0,319.85,1.0000000000000002,0.20000000150713687,0.0,0.0,0.0,3.767841722639281e-09,0.159976200646008,2.3804327543177898e-05,0.6399761929596118,2.3796791858576866e-05,3.8086485915298106e-20,0.0033760066009674897,0.8161834449954282,6.747760635026535e-08,0.0002222559465319736,0.18021819637340414,1.7934513154156371e-12,3.160752281709944e-09,2.524254244393788e-19,4.0814265125278815e-15,1.6076933368843568e-20,1.3408418722286437e-17,1.2156764120358748e-10,9.018125755577496e-11,2.5198471394540456e-08,2.6628293079512412e-14,3.155380724010391e-11,1.0382813907644011e-16,1.365730748776309e-12,4.053211630112967e-22,1.1638011778465081e-27,1.3409263892519787e-29,1.1379800736288445e-22,1.237982031720686e-25,4.164493196974822e-32,4.297747790176002e-28
76.5,319.85,1.0,0.20000000153507658,0.0,0.0,0.0,3.837691053278298e-09,0.1599759282797419,2.4076786010375813e-05,0.6399759204508529,2.4069110627113413e-05,3.9324504369494135e-20,0.0033701751304689763,0.8147734546729986,6.7360935696758e-08,0.00021936275032518495,0.18163691120140207,1.8008592081641854e-12,3.191406971479744e-09,2.551016098426334e-19,4.124550188267223e-15,1.6300659210689656e-20,1.3633155747281812e-17,1.2360739187679878e-10,9.005977482895436e-11,2.544280030768131e-08,2.658224634971822e-14,3.241351674673297e-11,1.0665699595373035e-16,1.4029405621733553e-12,4.1777323517925985e-22,1.1995058356167374e-27,1.3818605295559086e-29,1.171926153324177e-22,1.2749114541359197e-25,4.288720666214231e-32,4.419748792707223e-28
77.0,319.85,0.9999999999999999,0.2000000015632376,0.0,0.0,0.0,3.908093810311908e-09,0.15997565527243893,2.4349886244950616e-05,0.6399756472999278,2.434207005680752e-05,4.0589581232627994e-20,0.003364455084336218,0.8133904024946775,6.724649224708403e-08,0.00021653569256936797,0.18302851031962056,1.808170845397522e-12,3.2221283094417983e-09,2.577863011756506e-19,4.167807124586003e-15,1.6525637488254524e-20,1.3859452515031608e-17,1.2566131269412938e-10,8.994047804142661e-11,2.568765970013603e-08,2.65370785344488e-14,3.328754509563728e-11,1.0953296776347689e-16,1.44077009735151e-12,4.30481004780578e-22,1.2359425452241132e-27,1.423629221153652e-29,1.2065459132244257e-22,1.3125737743092945e-25,4.415413507180592e-32,4.544024164421479e-28
77.5,319.85,1.0,0.20000000159162062,0.0,0.0,0.0,3.979051402196017e-09,0.1599753816330646,2.4623619283321328e-05,0.6399753735158001,2.4615661179899964e-05,4.188205803612526e-20,0.0033588427470964068,0.812033390198554,6.713420173269746e-08,0.0002137726377692504,0.1843938978410264,1.8153897303501467e-12,3.2529146706133776e-09,2.6047939796831777e-19,4.211195639938985e-15,1.6751867865381942e-20,1.4087313197289307e-17,1.277294417237875e-10,8.982329285193633e-11,2.5933036607828325e-08,2.6492760325245207e-14,3.417599659246473e-11,1.124563976893617e-16,1.47922386802057e-12,4.434474666346268e-22,1.2731198610989152e-27,1.466242133449043e-29,1.2418468337451716e-22,1.3509771305335613e-25,4.5445990949512674e-32,4.6705965052758285e-28
78.0,319.85,1.0,0.20000000162022616,0.0,0.0,0.0,4.05056518556136e-09,0.15997510737019766,2.4897976548449048e-05,0.6399750991070452,2.4889875417478645e-05,4.32022770561637e-20,0.003353334565757904,0.8107015588045506,6.702399313287319e-08,0.00021107153724074921,0.1857339383474562,1.822519200222112e-12,3.283764504354859e-09,2.631808043874949e-19,4.254714127949231e-15,1.697934997920045e-20,1.4316741714872772e-17,1.2981181474565758e-10,8.970814827614087e-11,2.6178918662075927e-08,2.6449263695329505e-14,3.5078975700306086e-11,1.1542762943276322e-16,1.5183063946948696e-12,4.566756170526385e-22,1.3110463419797748e-27,1.5097089408853572e-29,1.2778363998365307e-22,1.3901296660430071e-25,4.6763048211979084e-32,4.799488434151196e-28
78.5,319.85,1.0,0.20000000164905465,0.0,0.0,0.0,4.12263646772136e-09,0.15997483249205183,2.5172949828353612e-05,0.6399748240818738,2.5164704554780652e-05,4.4550581330064826e-20,0.0033479271422632226,0.809394086789839,6.691579852385341e-08,0.00020843042507380616,0.18704945872578857,1.8295624339391077e-12,3.3146763311529185e-09,2.6589042902547873e-19,4.298361053988161e-15,1.720808344623812e-20,1.4547741756637563e-17,1.3190846542412202e-10,8.959497652975848e-11,2.642529406053033e-08,2.640656184007374e-14,3.599658700277365e-11,1.18447007091264e-16,1.5580222030951898e-12,4.701684542653413e-22,1.3497305521266828e-27,1.5540393242810287e-29,1.3145221018770371e-22,1.430039529985923e-25,4.810558097457728e-32,4.930722590376464e-28
79.0,319.85,1.0,0.20000000167810672,0.0,0.0,0.0,4.195266509070322e-09,0.15997455700649596,2.5448531255905757e-05,0.6399745484481529,2.5440140722000517e-05,4.592731462880744e-20,0.0033426172260815337,0.8081101882979861,6.680955293077953e-08,0.0002058474142465201,0.18834124997008578,1.8365224598964467e-12,3.3456487393535125e-09,2.6860818471986953e-19,4.342134952258989e-15,1.7438067868111183e-20,1.4780316796388296e-17,1.3401942546209144e-10,8.948371287375992e-11,2.6672151542191174e-08,2.6364629118568142e-14,3.6928935185548096e-11,1.2151487509792869e-16,1.5983758233500212e-12,4.839289783281985e-22,1.3891810610634982e-27,1.599242970593548e-29,1.3519114357075908e-22,1.4707148774615597e-25,4.947386355257681e-32,5.064321635679529e-28
79.5,319.85,0.9999999999999999,0.20000000170738272,0.0,0.0,0.0,4.268456525371848e-09,0.15997428092107288,2.5724713289832306e-05,0.6399742722134222,2.571617637578914e-05,4.73328215350911e-20,0.003337401707071261,0.806849111413396,6.670519418501946e-08,0.00020332069293424498,0.18961006891798365,1.843402163495621e-12,3.3766803819682738e-09,2.7133398837035096e-19,4.3860344228291234e-15,1.7669302836161647e-20,1.5014470108311547e-17,1.3614472474159342e-10,8.937429546458666e-11,2.6919480362448513e-08,2.632344099731834e-14,3.787612502053395e-11,1.2463157816916532e-16,1.639371789309717e-12,4.979601921367601e-22,1.4294064464484064e-27,1.6453295760399613e-29,1.3900119045565156e-22,1.5121638716143944e-25,5.086817053159442e-32,5.200308255854135e-28
80.0,319.85,1.0,0.20000000173688323,0.0,0.0,0.0,4.342207689935847e-09,0.1599740042430174,2.6001488696868333e-05,0.6399739953849146,2.599280428011455e-05,4.8767447379925645e-20,0.0033322776086530913,0.8056101365108035,6.66026627877075e-08,0.00020084852101685994,0.19085663991152005,1.850204294399683e-12,3.4077699735978376e-09,2.7406776074432414e-19,4.4300581284824805e-15,1.7901787934975067e-20,1.5250204781183862e-17,1.382843914532412e-10,8.926666521046013e-11,2.716727026718531e-08,2.628297399639452e-14,3.8838261347356284e-11,1.2779746124383842e-16,1.6810146377456003e-12,5.12265100920358e-22,1.4704152926524637e-27,1.692308844593251e-29,1.4288310182826515e-22,1.5543946828107302e-25,5.22887767398938e-32,5.338705161932253e-28
80.5,319.85,0.9999999999999999,0.20000000176660865,0.0,0.0,0.0,4.41652113569322e-09,0.15997372697927303,2.627885053500007e-05,0.6399737179695709,2.6270017491354764e-05,5.0231538290732786e-20,0.0033272420812112324,0.8043925746599425,6.650190177784238e-08,0.00019842922673154345,0.19208165640240782,1.8569314735993444e-12,3.4389162873935412e-09,2.768094263110408e-19,4.474204792029645e-15,1.8135522745777235e-20,1.5487523731115707e-17,1.4043845221234822e-10,8.916076563220127e-11,2.7415511470479178e-08,2.6243205637379105e-14,3.981544906858217e-11,1.3101286946754348e-16,1.7233089081430889e-12,5.268467129018838e-22,1.5122161926271857e-27,1.7401904900224902e-29,1.4683762946744367e-22,1.5974154900519773e-25,5.373595729592659e-32,5.4795350917415e-28
81.0,319.85,0.9999999999999997,0.20000000179655944,0.0,0.0,0.0,4.491397957163486e-09,0.15997344913650774,2.6556792137728588e-05,0.6399734399740569,2.6547809340444908e-05,5.172544118764025e-20,0.003322292395860985,0.8031957661187826,6.640285660770404e-08,0.0001960612035281866,0.19328578246817626,1.8635862000942283e-12,3.4701181522012585e-09,2.795589130500279e-19,4.518473193204497e-15,1.8370506848577078e-20,1.5726429713515277e-17,1.4260693216798547e-10,8.905654273157295e-11,2.7664194629607353e-08,2.6204114394202805e-14,4.080779313363846e-11,1.342781481396862e-16,1.7662591420055838e-12,5.417080393975085e-22,1.5548177481892103e-27,1.7889842362138606e-29,1.5086552596952355e-22,1.6412344812415709e-25,5.520998761731086e-32,5.622820810625107e-28
81.5,319.85,0.9999999999999999,0.20000000182673583,0.0,0.0,0.0,4.566839212327098e-09,0.1599731707211286,2.6835307099302246e-05,0.639973161404777,2.682617342001834e-05,5.3249503800386897e-20,0.0033174259384346925,0.8020190788795571,6.630547502264221e-08,0.00019374290704827823,0.1944696542751789,1.8701708573743155e-12,3.501374449744967e-09,2.8231615229654012e-19,4.562862166156288e-15,1.8606739824543252e-20,1.5966925333751592e-17,1.4478985510015924e-10,8.89539448641467e-11,2.79133108245755e-08,2.6165679645705814e-14,4.1815398538866245e-11,1.3759364271366053e-16,1.809869882856792e-12,5.568520951129675e-22,1.5982285708619943e-27,1.838699818102818e-29,1.5496754481286435e-22,1.6858598538870154e-25,5.671114344444611e-32,5.768585112751867e-28
82.0,319.85,1.0,0.20000000185713848,0.0,0.0,0.0,4.642845924397682e-09,0.15997289173929588,2.711438926085078e-05,0.6399728822678905,2.7105103568142732e-05,5.480407466017385e-20,0.003312640203833852,0.8008619073033163,6.620970694818098e-08,0.00019147285229254295,0.19563388145252528,1.8766877194950165e-12,3.532684112007644e-09,2.850810785598286e-19,4.6073705965050374e-15,1.8844221257238573e-20,1.620901305727408e-17,1.4698724351208556e-10,8.885292261984984e-11,2.81628515347276e-08,2.61278816310861e-14,4.283837031392545e-11,1.4095969875211107e-16,1.8541456756522534e-12,5.722818981753672e-22,1.6424572819675592e-27,1.8893469817814168e-29,1.591444403675708e-22,1.7312998152056826e-25,5.823970084407143e-32,5.91685082153482e-28
